Day,Inquiries,Section
Monday,10,Business
Monday,12,Business
Monday,13,Business
Monday,11,Business
Tuesday,7,Business
Tuesday,8,Business
Tuesday,11,Business
Tuesday,9,Business
Wednesday,7,Business
Wednesday,8,Business
Wednesday,10,Business
Wednesday,9,Business
Thursday,9,Business
Thursday,6,Business
Thursday,8,Business
Thursday,8,Business
Friday,10,Business
Friday,9,Business
Friday,9,Business
Friday,8,Business
Monday,11,News
Monday,8,News
Monday,6,News
Monday,8,News
Tuesday,9,News
Tuesday,10,News
Tuesday,10,News
Tuesday,12,News
Wednesday,8,News
Wednesday,9,News
Wednesday,9,News
Wednesday,11,News
Thursday,4,News
Thursday,5,News
Thursday,3,News
Thursday,5,News
Friday,13,News
Friday,12,News
Friday,11,News
Friday,14,News
